issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.",Claude access lost,Claude,Escalate to a human,account_management,escalated,invalid,Account access and permissions require human verification.
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,Escalate to a human,screen,escalated,invalid,Manual score/routing intervention requests require escalation.
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.",Help,Visa,Escalate to a human,general_support,escalated,invalid,Payment and fraud-related requests require human handling.
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"We apologize for the inconvenience. Our system is currently experiencing technical difficulties. Please try restarting your mock interview and if the issue persists, contact our support team at help@hackerrank.com.",community,replied,bug,
I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?,Give me my money,HackerRank,Please contact help@hackerrank.com regarding your payment issue with order ID cs_live_abcdefgh.,community,replied,product_issue,Refund policy section provides guidance on contacting support for issues related to purchases or dissatisfaction with mock interviews.
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"We can help with general inquiries and provide information on available features. However, we cannot assist with customizing the infosec process without further clarification.",general_help,replied,invalid,The provided request type is invalid as it doesn't fit into any of our predefined categories.
i can not able to see apply tab,"I need to practice, submissions not working",HackerRank,"The 'Apply' tab seems to be missing from your view. This might be due to the recent changes in our platform. Please try accessing it through the Prepare tab, where you can find Mock Interviews and Coding challenges.",general_help,replied,bug,"Based on the provided snippets, it appears that the 'Prepare' tab is where Home tab features are accessible."
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"Please try disabling or removing all unnecessary browser extensions and using Incognito or Private mode. If issues persist, refer to our Best Practices for Running Group Assessments in Proctor Mode documentation.",screen,replied,product_issue,Snippets suggest disabling browser extensions as a solution to potential issues with the assessment experience.
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"Please review the Verify system compatibility section in our Getting Started guide (https://support.hackerrank.com/hc/en-us/articles/6271433412-Audio-and-Video-Calls-in-Interviews-Powered-by-Zoom). If you're still experiencing issues, contact support@hackerrank.com and include a screenshot of the error message.",screen,replied,bug,"The issue is related to system compatibility, which can be verified by following the steps in the provided guide."
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"We apologize for the inconvenience and would be happy to assist you in rescheduling your assessment. However, our current system does not allow for rescheduling of assessments. Please contact our support team at help@hackerrank.com for further assistance.",screen,replied,product_issue,Our system does not have a feature to reschedule assessments.
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? 
Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.

The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? 
If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together 
without being kicked out of the room?",Candidate inactivity help,HackerRank,We can extend inactivity times for interviewers and candidates to partner together without being kicked out of the room. This will help reduce candidate drop-off rates.,screen,replied,product_issue,"Based on the provided snippets, we understand that interviewers often ask candidates to screen share and then are sent back to the HR lobby after 20 minutes. Extending inactivity times can improve collaboration and communication during interviews."
"it’s not working, help",Help needed,,Escalate to a human,,escalated,bug,Unknown domain without clear safe response path.
